election_type,province_number,province,district,subdistrict,เขต_ผู้มาใช้สิทธิ์,เขต_ผู้มีสิทธิ์,party,votes
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,307,385,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,451,544,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,521,636,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,631,841,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,258,335,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,593,776,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,500,616,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,414,536,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,719,935,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,542,756,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,363,467,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,190,234,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,390,482,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,671,996,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,370,470,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,484,640,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,142,177,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,559,862,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,318,418,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,229,303,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,274,354,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,ม่อนปิ่น,717,971,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,403,520,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,310,399,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,489,616,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,189,221,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,487,676,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,315,406,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,338,400,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,493,646,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,278,342,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,สันทราย,320,416,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,501,733,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,430,609,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,624,933,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,640,917,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,723,1070,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,473,6636,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,344,464,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,234,462,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,264,360,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,624,862,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,625,907,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,389,499,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,549,724,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,191,285,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,453,610,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,359,483,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,371,463,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,318,448,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,458,608,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,425,576,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,414,582,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,608,793,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,555,706,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,501,631,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,169,226,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,เวียง,265,469,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,391,498,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,419,541,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,421,542,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,335,425,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,337,444,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,287,373,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,543,687,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,358,479,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,628,763,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,367,494,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,419,546,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,278,339,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,469,586,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่ข่า,295,370,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,523,683,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,472,682,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,403,482,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,441,580,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,215,251,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,265,321,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,444,710,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,213,287,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,584,728,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,242,329,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,350,512,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,563,722,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,636,1089,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,500,610,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,167,207,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่คะ,522,692,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,297,386,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,209,630,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,360,414,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,328,393,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,346,763,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,265,315,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,268,331,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,310,406,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,507,674,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,298,372,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,508,639,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,380,880,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,292,531,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,405,694,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,499,681,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่งอน,435,562,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,386,532,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,614,846,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,617,7999,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,396,530,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,295,373,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,264,347,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,367,488,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,308,382,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,308,365,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,284,377,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,407,593,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,469,579,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,725,1000,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,479,623,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,301,403,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,330,433,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,607,824,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,แม่สูน,101,118,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,214,275,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,327,413,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,502,794,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,269,356,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,348,415,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,462,610,กรีน,0
สส เขต,7,เชียงใหม่,ฝาง,โป่งน้ำร้อน,324,418,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,448,647,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,81,139,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,500,741,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,332,527,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,523,953,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,516,982,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,252,418,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,650,889,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,458,640,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,461,742,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,199,305,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,495,718,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,505,933,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,525,804,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,197,284,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,467,692,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,125,199,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,264,382,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,518,727,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,ท่าตอน,504,867,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,364,497,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,283,404,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,254,353,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,520,674,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,339,454,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,287,382,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,647,837,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,274,328,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,161,206,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,303,396,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,141,170,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,129,168,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,บ้านหลวง,195,253,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,151,196,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,169,239,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,195,378,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,226,394,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,290,408,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,274,396,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,308,448,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,188,235,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,195,291,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,มะลิกา,151,196,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,434,567,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,215,242,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,211,288,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,216,271,กรีน,0
สส เขต,7,เชียงใหม่,แม่อาย,สันต้นหมื้อ,318,416,กรีน,0
