election_type,party,ท่าตอน,บ้านหลวง,ปงตำ,มะลิกา,ม่อนปิ่น,สันต้นหมื้อ,สันทราย,เวียง,แม่ข่า,แม่คะ,แม่งอน,แม่ทะลบ,แม่นาวาง,แม่สาว,แม่สูน,แม่อาย,โป่งน้ำร้อน,ไม่ระบุตำบล,total_votes
สส เขต,ก้าวไกล,2472,850,1446,573,2285,947,2101,3854,1652,2122,1980,983,1532,1630,2632,1241,803,3708,32811
สส เขต,เพื่อไทย,1715,979,1800,592,1550,1390,2141,3080,1965,1882,1791,1735,1940,1334,2069,1380,814,1168,29325
สส เขต,รวมไทยสร้างชาติ,635,207,404,170,443,117,613,1066,750,706,776,525,595,324,815,396,126,294,8962
สส เขต,บัตรเสีย,828,449,208,135,421,219,347,541,288,494,307,278,613,462,298,322,124,72,6406
สส เขต,ประชาธิปัตย์,863,344,210,38,636,171,760,158,371,667,204,233,812,100,516,50,140,110,6383
สส เขต,รวมแผ่นดิน,382,552,86,115,433,247,313,401,115,181,209,157,351,1065,354,251,179,144,5535
สส เขต,เพื่อชาติ,465,226,29,238,207,111,136,293,79,151,49,174,579,433,161,773,50,0,4154
สส เขต,ไทยสร้างไทย,150,60,24,160,81,232,69,1153,65,53,25,44,366,341,51,132,56,64,3126
สส เขต,ไม่เลือกผู้ใด,159,67,109,98,128,82,214,410,114,173,156,67,121,157,192,114,92,239,2692
สส เขต,พลังประชารัฐ,127,61,57,9,79,23,71,130,53,181,76,49,105,53,64,58,22,8,1226
สส เขต,เสรีรวมไทย,56,21,26,37,33,59,59,90,23,33,35,24,96,69,42,39,17,65,824
สส เขต,ไทยภักดี,74,40,20,5,38,13,26,41,24,40,19,26,44,33,27,31,14,0,515
สส เขต,พลังบูรพา,58,17,15,11,32,2,17,31,25,27,28,25,42,65,22,34,3,0,454
สส เขต,ภูมิใจไทย,17,13,11,0,7,5,15,28,6,20,8,15,18,7,9,13,4,36,232
สส เขต,ไทยศรีวิไลย์,32,8,4,6,9,4,4,12,8,12,9,6,25,2,3,14,2,0,160
สส เขต,กรีน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ครูไทยเพื่อประชาช,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,คลองไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ความหวังใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ชาติพัฒนากล้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ชาติรุ่งเรือง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ชาติไทยพัฒนา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ช่วยชาติ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ถิ่นกาขาวชาววิไล,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ทางเลือกใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ท้องที่ไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ประชากรไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ประชาชาติ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ประชาธิปไตยใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ประชาภิวัฒน์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ประชาสามัคคี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ประชาไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลัง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังธรรมใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังประชาธิปไตย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังปวงชนไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังสยาม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังสหกรณ์,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังสังคม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังสังคมใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังเพื่อไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,พลังไทยรักชาติ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ภราดรภาพ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ภาคีเครือข่ายไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,มิติใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,รวมพลัง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,รวมใจไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,รักษ์ธรรม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,รักษ์ผืนป่าประเทศ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ราษฎร์วิถี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,สังคมประชาธิปไตยไ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,สามัญชน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,อนาคตไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,เปลี่ยน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,เปลี่ยนอนาคต,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,เป็นธรรม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,เพื่อชาติไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,เพื่ออนาคตไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,เพื่อไทรวมพลัง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,เสมอภาค,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,เส้นด้าย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,แนวทางใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,แผ่นดินธรรม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,แรงงานสร้างชาติ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ใหม่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ไทยก้าวหน้า,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ไทยชนะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ไทยธรรม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ไทยพร้อม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ไทยรวมไทย,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ไทยสมาร์ท,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
สส เขต,ไทยเป็นหนึ่ง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
