election_type,province_number,province,district,subdistrict,บช_ผู้มาใช้สิทธิ์,บช_ผู้มีสิทธิ์,party,votes
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,307,385,ก้าวไกล,130
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,451,544,ก้าวไกล,178
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,521,636,ก้าวไกล,224
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,631,841,ก้าวไกล,226
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,258,335,ก้าวไกล,104
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,593,776,ก้าวไกล,216
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,500,616,ก้าวไกล,179
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,0,0,ก้าวไกล,0
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,719,935,ก้าวไกล,259
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,542,756,ก้าวไกล,110
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,363,467,ก้าวไกล,161
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,190,234,ก้าวไกล,103
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,390,482,ก้าวไกล,127
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,671,996,ก้าวไกล,267
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,370,470,ก้าวไกล,183
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,484,640,ก้าวไกล,207
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,142,177,ก้าวไกล,65
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,559,862,ก้าวไกล,313
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,318,418,ก้าวไกล,157
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,229,303,ก้าวไกล,113
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,274,354,ก้าวไกล,121
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,ม่อนปิ่น,717,971,ก้าวไกล,436
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,403,520,ก้าวไกล,159
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,310,399,ก้าวไกล,130
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,489,616,ก้าวไกล,165
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,189,221,ก้าวไกล,79
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,487,676,ก้าวไกล,197
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,315,406,ก้าวไกล,130
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,338,400,ก้าวไกล,133
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,493,646,ก้าวไกล,194
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,278,342,ก้าวไกล,7
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,สันทราย,320,416,ก้าวไกล,121
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,501,733,ก้าวไกล,224
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,430,609,ก้าวไกล,202
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,624,933,ก้าวไกล,240
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,640,917,ก้าวไกล,290
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,723,1070,ก้าวไกล,327
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,473,6636,ก้าวไกล,188
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,344,464,ก้าวไกล,165
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,234,462,ก้าวไกล,86
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,264,360,ก้าวไกล,91
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,624,862,ก้าวไกล,6
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,625,907,ก้าวไกล,226
บัญชีรายชื่อ,7,เชียงใหม่,ฝาง,เวียง,389,499,ก้าวไกล,191
