election_type,party,ท่าตอน,บ้านหลวง,ปงตำ,มะลิกา,ม่อนปิ่น,สันต้นหมื้อ,สันทราย,เวียง,แม่ข่า,แม่คะ,แม่งอน,แม่ทะลบ,แม่นาวาง,แม่สาว,แม่สูน,แม่อาย,โป่งน้ำร้อน,ไม่ระบุตำบล,total_votes
บัญชีรายชื่อ,ก้าวไกล,2577,1085,1676,797,2622,1222,2572,4622,2093,2490,2533,1286,2179,2174,3202,1660,1036,4521,40347
บัญชีรายชื่อ,เพื่อไทย,1597,1266,1420,726,1635,1612,2461,3289,1927,2042,1772,1568,1949,1901,2160,1543,851,1118,30837
บัญชีรายชื่อ,รวมไทยสร้างชาติ,630,246,263,131,404,141,563,1118,332,493,369,455,861,405,601,419,147,181,7759
บัญชีรายชื่อ,บัตรเสีย,651,322,217,117,351,182,314,507,319,457,324,282,512,403,367,322,110,49,5806
บัญชีรายชื่อ,ภูมิใจไทย,121,87,61,36,109,61,102,143,103,103,107,90,115,78,107,66,41,11,1541
บัญชีรายชื่อ,ประชาธิปัตย์,203,16,33,11,46,21,81,266,47,45,48,40,83,13,106,41,19,27,1146
บัญชีรายชื่อ,ไทยสร้างไทย,66,29,23,73,44,82,48,223,53,36,36,23,134,123,39,72,21,12,1137
บัญชีรายชื่อ,ไม่เลือกผู้ใด,53,18,61,23,46,26,72,149,66,67,50,36,36,52,99,28,36,44,962
บัญชีรายชื่อ,เสรีรวมไทย,34,14,33,24,31,34,54,252,27,32,30,11,37,38,52,31,7,25,766
บัญชีรายชื่อ,พลังประชารัฐ,41,17,27,7,31,13,30,64,33,58,31,17,41,27,31,19,9,12,508
บัญชีรายชื่อ,ชาติพัฒนากล้า,10,6,4,2,11,2,6,12,5,8,4,3,11,5,6,0,0,15,110
บัญชีรายชื่อ,ประชาชาติ,14,5,6,2,11,1,7,7,2,8,4,5,7,13,5,7,2,0,106
บัญชีรายชื่อ,ชาติไทยพัฒนา,10,7,1,2,3,2,4,12,1,4,3,5,5,8,2,3,2,0,74
