source_pdf,ประเภทเอกสาร,is_bch,หน่วยเลือกตั้งที่,หน่วยเลือกตั้งที่(ตัวเลขดิบ),หน่วยเลือกตั้งที่(ตัวอักษร),หน่วยเลือกตั้งที่_from_path,หน่วยเลือกตั้งที่_decision,หมู่ที่,หมู่ที่(ตัวเลขดิบ),หมู่ที่(ตัวอักษร),หมู่ที่_from_path,หมู่ที่_decision,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,จำนวนผู้มีสิทธิ,จำนวนผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,match_score_ตำบล,match_score_อำเภอ
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,9,9,,9,numeric_only,,,,,missing,ตำบลแม่ทะลบ,อำเภอไชยปราการ,,,389.0,,,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,หนึ่ง,9,numeric_text_agree,7.0,7,เจ็ด,,numeric_text_agree,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,6,6,,6,numeric_only,5.0,5,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,359.0,45.0,18.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,แบ่งเขต,False,6,6,,6,numeric_only,5.0,5,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,8,8,,8,numeric_only,,,,,missing,ตำบลแม่ทะลบ,อำเภอไชยปราการ,,,341.0,,,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 8/สส.5ทับ18.pdf,แบ่งเขต,False,8,8,,8,numeric_only,6.0,6,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,536.0,379.0,346.0,28.0,5.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18.pdf,แบ่งเขต,False,5,5,,5,numeric_only,4.0,4,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,239.0,15.0,10.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 5/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,6,6,,5,numeric_only,4.0,4,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,411.0,264.0,242.0,17.0,5.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,7,7,,7,numeric_only,6.0,6,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,313.0,27.0,15.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 7/สส.5ทับ18.pdf,แบ่งเขต,False,7,7,,7,numeric_only,6.0,6,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,452.0,355.0,304.0,29.0,19.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,4,4,,4,numeric_only,4.0,4,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,421.0,313.0,282.0,20.0,11.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 4/สส. 5ทับ18.pdf,แบ่งเขต,False,4,4,,4,numeric_only,,,,,missing,ตำบลแม่ทะลบ,อำเภอไชยปราการ,,,,,,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,3,3,,3,numeric_only,3.0,3,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,577.0,427.0,393.0,31.0,3.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 3/สส. 5ทับ18.pdf,แบ่งเขต,False,3,3,,3,numeric_only,6.0,6,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,579.0,424.0,408.0,18.0,6.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,10,10,,10,numeric_only,,,,,missing,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,276.0,15.0,1.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 10/สส. 5ทับ18.pdf,แบ่งเขต,False,10,10,,10,numeric_only,3.0,3,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,372.0,292.0,271.0,20.0,1.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,2,2,,2,numeric_only,2.0,2,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,398.0,31.0,11.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 2/สส. 5ทับ 18.pdf,แบ่งเขต,False,8,8,,2,numeric_only,8.0,8,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,589.0,440.0,416.0,16.0,8.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,674.0,515.0,459.0,46.0,10.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 1/สส. 5ทับ18.pdf,แบ่งเขต,False,1,1,,1,numeric_only,1.0,1,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,674.0,515.0,450.0,52.0,13.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 11/สส. 5ทับ18.pdf,แบ่งเขต,False,11,11,,11,numeric_only,8.0,8,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,480.0,381.0,364.0,17.0,0.0,100,100.0
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 11/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,11,11,,11,numeric_only,9.0,9,,,numeric_only,ตำบลแม่ทะลบ,อำเภอไชยปราการ,480.0,381.0,360.0,20.0,1.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,8,8,,8,numeric_only,5.0,5,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,471.0,363.0,321.0,25.0,19.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 8/สส. 5ทับ18.pdf,แบ่งเขต,False,8,8,,8,numeric_only,5.0,5,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,471.0,365.0,335.0,16.0,14.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,แบ่งเขต,False,6,6,,6,numeric_only,3.0,3,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,724.0,532.0,485.0,30.0,17.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18 (บช).pdf,บัญชีรายชื่อ,True,6,6,,6,numeric_only,3.0,3,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,724.0,532.0,481.0,40.0,11.0,100,100.0
อำเภอไชยปราการ/ตำบลปงตำ/หน่วยเลือกตั้งที่ 7/สส. 5ทับ18.pdf,แบ่งเขต,False,7,7,,7,numeric_only,4.0,4,,,numeric_only,ตำบลปงตำ,อำเภอไชยปราการ,327.0,216.0,197.0,10.0,9.0,100,100.0
