source_pdf,หน่วยเลือกตั้งที่,หมู่ที่,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,จำนวนผู้มีสิทธิ,จำนวนผู้มาใช้สิทธิ์,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,หมายเลขผู้สมัคร,ชื่อผู้สมัคร,สังกัดพรรคการเมือง,จำนวนคะแนนที่ได้,จำนวนคะแนนที่ได้(ตัวเลขดิบ),จำนวนที่ได้(ตัวอักษร),จำนวนคะแนนที่ได้_decision
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,2.0,นายสมดุลย์ อุดเจริญ,ประชาชน,31.0,31,สามสิบเอ็ดบัตร,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,3.0,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,1.0,1,หนึ่งบัตร,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,4.0,นายสันติ ตันสุขี,ก้าวอิสระ,1.0,1,หนึ่งบัตร,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,5.0,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,318.0,318,สามร้อยสิบแปดบัตร,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,6.0,นายนิธิกร วุฒินันชัย,เพื่อไทย,30.0,30,สามสิบบัตร,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,7.0,นายไกร ดาบธรรม,พลังประชารัฐ,7.0,7,เจ็ดบัตร,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,8.0,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,1.0,1,หนึ่งบัตร,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18.pdf,1,7.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,559.0,395.0,389.0,6.0,,9.0,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 6/สส. 5ทับ18.pdf,6,5.0,ตำบลแม่ทะลบ,อำเภอไชยปราการ,533.0,402.0,378.0,10.0,14.0,1.0,นายอดุลย์ บุญใส,ภูมิใจไทย,12.0,12,สิบสองคะแนน,numeric_text_agree
