source_pdf,หน่วยเลือกตั้งที่,หมู่ที่,ตำบล/แขวง/เทศบาล,อำเภอ/เขต,บัตรดี,บัตรเสีย,บัตรไม่เลือกผู้ใด,เลขพรรค,ชื่อพรรค,จำนวนคะแนนที่ได้,จำนวนคะแนนที่ได้(ตัวเลขดิบ),จำนวนที่ได้(ตัวอักษร),จำนวนคะแนนที่ได้_decision
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,11.0,เศรษฐกิจ,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,12.0,เสรีรวมไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,13.0,รวมพลังประชาชน,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,14.0,ท้องที่ไทย,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,15.0,อนาคตไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,16.0,พลังเพื่อไทย,3.0,3,สาม,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,17.0,ไทยชนะ,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,18.0,พลังสังคมใหม่,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,19.0,สังคมประชาธิปไตยไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,20.0,ฟิวชั่น,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,21.0,ไทรวมพลัง,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,22.0,ก้าวอิสระ,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,23.0,ปวงชนไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,24.0,วิชชั่นใหม่,3.0,3,สาม,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,25.0,เพื่อชีวิตใหม่,1.0,1,หนึ่ง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,26.0,คลองไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,27.0,ประชาธิปัตย์,32.0,32,สามสิบสอง,numeric_text_agree
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,28.0,ไทยก้าวหน้า,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,29.0,ไทยภักดี,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,30.0,แรงงานสร้างชาติ,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,31.0,ประชากรไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,32.0,ครูไทยเพื่อประชาชน,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,33.0,ประชาชาติ,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,34.0,สร้างอนาคตไทย,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,35.0,รักชาติ,0.0,0,ศูนย์,numeric_only
อำเภอไชยปราการ/ตำบลแม่ทะลบ/หน่วยเลือกตั้งที่ 9/สส. 5ทับ18 (บช).pdf,9,,ตำบลแม่ทะลบ,อำเภอไชยปราการ,389.0,,,36.0,ไทยพร้อม,1.0,1,หนึ่ง,numeric_text_agree
