รหัสจังหวัด,จังหวัด,เขต,อำเภอ,ตำบล,หมู่,หมายเลขหน่วยเลือกตั้ง,หมายเลขผู้สมัคร,ชื่อผู้สมัคร,ชื่อพรรค,คะแนน
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,1,นายอดุลย์ บุญใส,ภูมิใจไทย,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,2,นายสมดุลย์ อุตเจริญ,ประชาชน,7
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,4,นายสันติ ตันสุหัช,ก้าวอิสระ,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,97
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,18
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,7,นายไกร ดาบธรรม,พลังประชารัฐ,12
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,2,13,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,1,นายอดุลย์ บุญใส,ภูมิใจไทย,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,2,นายสมดุลย์ อุตเจริญ,ประชาชน,32
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,4,นายสันติ ตันสุหัช,ก้าวอิสระ,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,24
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,46
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,7,นายไกร ดาบธรรม,พลังประชารัฐ,42
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,4
50,เชียงใหม่,7,แม่อาย,มะลิกา,3,14,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,1,นายอดุลย์ บุญใส,ภูมิใจไทย,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,2,นายสมดุลย์ อุตเจริญ,ประชาชน,30
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,2
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,4,นายสันติ ตันสุหัช,ก้าวอิสระ,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,45
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,36
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,7,นายไกร ดาบธรรม,พลังประชารัฐ,49
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,4
50,เชียงใหม่,7,แม่อาย,มะลิกา,4,15,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,1,นายอดุลย์ บุญใส,ภูมิใจไทย,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,2,นายสมดุลย์ อุตเจริญ,ประชาชน,36
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,4,นายสันติ ตันสุหัช,ก้าวอิสระ,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,44
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,46
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,7,นายไกร ดาบธรรม,พลังประชารัฐ,60
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,5,16,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,6
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,1,นายอดุลย์ บุญใส,ภูมิใจไทย,2
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,2,นายสมดุลย์ อุตเจริญ,ประชาชน,47
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,4,นายสันติ ตันสุหัช,ก้าวอิสระ,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,83
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,49
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,7,นายไกร ดาบธรรม,พลังประชารัฐ,70
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,2
50,เชียงใหม่,7,แม่อาย,มะลิกา,6,17,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,1
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,1,นายอดุลย์ บุญใส,ภูมิใจไทย,4
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,2,นายสมดุลย์ อุตเจริญ,ประชาชน,56
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,3,นายเกรียงกมล ศรีมา,ประชาธิปัตย์,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,4,นายสันติ ตันสุหัช,ก้าวอิสระ,0
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,5,นายการุณย์ คูเจริญชัยกุล,กล้าธรรม,91
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,6,นายนิธิกร วุฒินันชัย,เพื่อไทย,34
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,7,นายไกร ดาบธรรม,พลังประชารัฐ,58
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,8,นายพิสัณห์ อุปนันท์,เศรษฐกิจ,3
50,เชียงใหม่,7,แม่อาย,มะลิกา,7,18,9,นายชาญวิทยายุทธ์ อินทร์แก้ว,ประชากรไทย,2
