สังกัด,ระดับ,ฝาง_2568,ฝาง_2567,ฝาง_2565,ฝาง_2564,ฝาง_2566,แม่อาย_2568,แม่อาย_2567,แม่อาย_2565,แม่อาย_2564,ไชยปราการ_2568,ไชยปราการ_2565,ไชยปราการ_2567,ไชยปราการ_2564,แม่อาย_2566,ไชยปราการ_2566,Totals
กรมส่งเสริมการปกครองท้องถิ่น,ก่อนประถมศึกษา,115,99,109,,,97,112,94,,29,51,41,,,,747
กรมส่งเสริมการปกครองท้องถิ่น,ประถมศึกษา,72,56,53,,,2,4,,,,,,,,,187
กรมส่งเสริมการปกครองท้องถิ่น,มัธยมศึกษาตอนต้น,70,54,41,,,,,,,36,14,20,,,,235
กรมส่งเสริมการปกครองท้องถิ่น,มัธยมศึกษาตอนปลาย,,,,,,177,194,,,,,,,,,371
กรมส่งเสริมการเรียนรู้,ประถมศึกษา,36,12,23,29,23,27,25,28,23,18,23,5,11,15,23,321
กรมส่งเสริมการเรียนรู้,มัธยมศึกษาตอนต้น,66,33,58,31,80,38,14,55,53,45,34,16,27,69,23,642
กรมส่งเสริมการเรียนรู้,มัธยมศึกษาตอนปลาย,99,46,71,56,65,51,49,57,61,53,49,29,23,56,23,788
กองบัญชาการตำรวจตระเวนชายแดน,ประถมศึกษา,13,,,,10,23,,,,,,,,18,,64
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,ประถมศึกษา,1182,1112,995,1015,,964,932,878,842,445,367,429,362,,,9523
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,มัธยมศึกษาตอนต้น,747,792,767,751,789,453,396,447,470,203,272,239,248,405,264,7243
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน,มัธยมศึกษาตอนปลาย,311,307,252,279,277,31,23,21,28,71,54,77,67,23,70,1891
สำนักงานคณะกรรมการการอาชีวศึกษา,ประกาศนียบัตรบัณฑิตชั้นสูง,,,321,247,,,,,,,,,,,,568
สำนักงานคณะกรรมการการอาชีวศึกษา,ประกาศนียบัตรวิชาชีพ (ปวช.),560,611,636,,434,,,,,,,,,,,2241
สำนักงานคณะกรรมการการอาชีวศึกษา,ประกาศนียบัตรวิชาชีพชั้นสูง (ปวส.),336,379,,,215,,,,,,,,,,,930
สำนักงานคณะกรรมการการอาชีวศึกษา,มัธยมศึกษาตอนปลาย,,,,461,220,,,,,,,,,,,681
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ก่อนประถมศึกษา,295,297,277,348,355,,,,,60,97,57,115,,59,1960
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ประถมศึกษา,480,468,382,465,413,,,,,70,70,49,73,,55,2525
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,มัธยมศึกษาตอนต้น,452,489,501,522,528,,,,,8,9,7,,,9,2525
สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,มัธยมศึกษาตอนปลาย,379,416,401,464,427,,,,,,,,,,,2087
สำนักงานพระพุทธศาสนาแห่งชาติ,มัธยมศึกษาตอนต้น,27,43,,,59,16,17,,,10,,14,,26,5,217
สำนักงานพระพุทธศาสนาแห่งชาติ,มัธยมศึกษาตอนปลาย,20,15,,,13,14,10,,,9,,8,,9,16,114
Totals,,5260,5229,4887,4668,3908,1893,1776,1580,1477,1057,1040,991,926,621,547,35860
