unit_index,year,election_type,unit_type,district,subdistrict,village_no,precinct_no,set_no,latitude,longitude,winner_party,winner_candidate,winner_votes,runner_up_party,runner_up_votes,margin,total_votes_in_file,results,color,display_name
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_1,2566,constituency,advance_set,เขต 7,,,,1.0,,,ก้าวไกล,สมดุลย์ อุตเจริญ,493,เพื่อไทย,148,345,737,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 493}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 148}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 41}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 22}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 14}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 8}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 7}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 2}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 2}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 1
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_2,2566,constituency,advance_set,เขต 7,,,,2.0,,,ก้าวไกล,สมดุลย์ อุตเจริญ,509,เพื่อไทย,153,356,740,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 509}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 153}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 29}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 18}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 12}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 8}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 6}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 4}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 2
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_3,2566,constituency,advance_set,เขต 7,,,,3.0,,,ก้าวไกล,สมดุลย์ อุตเจริญ,471,เพื่อไทย,149,322,724,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 471}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 149}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 49}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 15}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 13}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 10}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 9}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 6}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 2}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 3
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_4,2566,constituency,advance_set,เขต 7,,,,4.0,,,ก้าวไกล,สมดุลย์ อุตเจริญ,468,เพื่อไทย,146,322,728,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 468}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 146}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 51}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 23}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 18}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 11}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 7}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 4}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 4
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_5,2566,constituency,advance_set,เขต 7,,,,5.0,,,ก้าวไกล,สมดุลย์ อุตเจริญ,494,เพื่อไทย,162,332,737,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 494}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 162}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 35}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 14}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 12}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 9}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 7}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 3}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 5
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_6,2566,constituency,advance_set,เขต 7,,,,6.0,,,ก้าวไกล,สมดุลย์ อุตเจริญ,491,เพื่อไทย,158,333,745,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 491}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 158}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 29}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 19}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 19}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 14}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 10}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 4}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 6
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_7,2566,constituency,advance_set,เขต 7,,,,7.0,,,ก้าวไกล,สมดุลย์ อุตเจริญ,480,เพื่อไทย,158,322,736,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 480}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 158}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 38}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 21}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 15}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 10}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 9}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 5}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 7
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_8,2566,constituency,advance_set,เขต 7,,,,8.0,,,ก้าวไกล,สมดุลย์ อุตเจริญ,302,เพื่อไทย,94,208,450,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 302}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 94}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 22}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 12}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 7}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 6}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 5}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 8
50_เชียงใหม่_7_อำเภอฝาง_ม่อนปิ่น_NA_1,2566,constituency,normal_precinct,ฝาง,ม่อนปิ่น,,1.0,,19.915875,99.180248,ก้าวไกล,สมดุลย์ อุตเจริญ,157,เพื่อไทย,56,101,385,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 157}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 56}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 53}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 53}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 44}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 8}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 5}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 3}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 2}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 2}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 1}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ฝาง / ม่อนปิ่น / หน่วย 1
50_เชียงใหม่_7_อำเภอฝาง_ม่อนปิ่น_NA_2,2566,constituency,normal_precinct,ฝาง,ม่อนปิ่น,,2.0,,19.912379,99.175648,ก้าวไกล,สมดุลย์ อุตเจริญ,142,เพื่อไทย,64,78,346,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 142}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 64}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 57}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 37}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 31}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 9}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 3}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 1}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 1}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 0}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ฝาง / ม่อนปิ่น / หน่วย 2
