unit_index,year,election_type,unit_type,district,subdistrict,village_no,precinct_no,set_no,latitude,longitude,winner_party,winner_candidate,winner_votes,runner_up_party,runner_up_votes,margin,total_votes_in_file,results,color,display_name,eligible_voters,appeared_voters,allocated_ballots,used_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remaining_ballots,available_vote_sum_66,valid_ballots_gap_from_available_votes_66,turnout_rate,used_ballot_rate,valid_rate,invalid_rate,no_vote_rate,remaining_rate,winner_share,runner_up_share,margin_rate,competitiveness,vote_mismatch,abs_vote_mismatch,ballot_equation_error,allocation_equation_error,appeared_used_error,audit_level,audit_category,serious_flags,warning_flags,rule_flags,serious_flag_count,warning_flag_count,rule_flag_count,z_anomaly_score,max_abs_z,isolation_forest_label,isolation_forest_score,combined_anomaly_score
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_1,2566,constituency,advance_set,เขต 7,,,,1,,,ก้าวไกล,สมดุลย์ อุตเจริญ,493,เพื่อไทย,148,345,737,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 493}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 148}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 41}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 22}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 14}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 8}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 7}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 2}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 2}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 1,800,800,,800,762,11,27,,737,25,1,,0.9525,0.01375,0.03375,,0.668928087,0.200814111,0.468113976,0.531886024,25,25,0,,0,not_run_for_66,year66_prepared_final_only,,available_vote_columns_do_not_sum_to_official_valid_ballots,available_vote_columns_do_not_sum_to_official_valid_ballots,0,1,1,,,not_run_for_66,,
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_2,2566,constituency,advance_set,เขต 7,,,,2,,,ก้าวไกล,สมดุลย์ อุตเจริญ,509,เพื่อไทย,153,356,740,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 509}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 153}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 29}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 18}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 12}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 8}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 6}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 4}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 2,800,799,,799,762,10,27,,740,22,0.99875,,0.953692115,0.012515645,0.03379224,,0.687837838,0.206756757,0.481081081,0.518918919,22,22,0,,0,not_run_for_66,year66_prepared_final_only,,available_vote_columns_do_not_sum_to_official_valid_ballots,available_vote_columns_do_not_sum_to_official_valid_ballots,0,1,1,,,not_run_for_66,,
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_3,2566,constituency,advance_set,เขต 7,,,,3,,,ก้าวไกล,สมดุลย์ อุตเจริญ,471,เพื่อไทย,149,322,724,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 471}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 149}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 49}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 15}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 13}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 10}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 9}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 6}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 2}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 3,800,800,,800,753,11,36,,724,29,1,,0.94125,0.01375,0.045,,0.650552486,0.205801105,0.444751381,0.555248619,29,29,0,,0,not_run_for_66,year66_prepared_final_only,,available_vote_columns_do_not_sum_to_official_valid_ballots,available_vote_columns_do_not_sum_to_official_valid_ballots,0,1,1,,,not_run_for_66,,
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_4,2566,constituency,advance_set,เขต 7,,,,4,,,ก้าวไกล,สมดุลย์ อุตเจริญ,468,เพื่อไทย,146,322,728,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 468}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 146}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 51}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 23}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 18}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 11}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 7}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 4}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 4,800,800,,800,753,10,37,,728,25,1,,0.94125,0.0125,0.04625,,0.642857143,0.200549451,0.442307692,0.557692308,25,25,0,,0,not_run_for_66,year66_prepared_final_only,,available_vote_columns_do_not_sum_to_official_valid_ballots,available_vote_columns_do_not_sum_to_official_valid_ballots,0,1,1,,,not_run_for_66,,
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_5,2566,constituency,advance_set,เขต 7,,,,5,,,ก้าวไกล,สมดุลย์ อุตเจริญ,494,เพื่อไทย,162,332,737,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 494}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 162}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 35}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 14}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 12}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 9}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 7}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 3}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 5,800,800,,800,759,9,32,,737,22,1,,0.94875,0.01125,0.04,,0.670284939,0.219810041,0.450474898,0.549525102,22,22,0,,0,not_run_for_66,year66_prepared_final_only,,available_vote_columns_do_not_sum_to_official_valid_ballots,available_vote_columns_do_not_sum_to_official_valid_ballots,0,1,1,,,not_run_for_66,,
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_6,2566,constituency,advance_set,เขต 7,,,,6,,,ก้าวไกล,สมดุลย์ อุตเจริญ,491,เพื่อไทย,158,333,745,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 491}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 158}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 29}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 19}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 19}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 14}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 10}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 4}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 6,800,800,,800,764,8,28,,745,19,1,,0.955,0.01,0.035,,0.659060403,0.212080537,0.446979866,0.553020134,19,19,0,,0,not_run_for_66,year66_prepared_final_only,,available_vote_columns_do_not_sum_to_official_valid_ballots,available_vote_columns_do_not_sum_to_official_valid_ballots,0,1,1,,,not_run_for_66,,
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_7,2566,constituency,advance_set,เขต 7,,,,7,,,ก้าวไกล,สมดุลย์ อุตเจริญ,480,เพื่อไทย,158,322,736,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 480}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 158}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 38}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 21}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 15}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 10}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 9}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 5}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 7,800,800,,800,758,7,35,,736,22,1,,0.9475,0.00875,0.04375,,0.652173913,0.214673913,0.4375,0.5625,22,22,0,,0,not_run_for_66,year66_prepared_final_only,,available_vote_columns_do_not_sum_to_official_valid_ballots,available_vote_columns_do_not_sum_to_official_valid_ballots,0,1,1,,,not_run_for_66,,
50_เชียงใหม่_7_ล่วงหน้านอกเขตและนอกราชอาณาจักร_8,2566,constituency,advance_set,เขต 7,,,,8,,,ก้าวไกล,สมดุลย์ อุตเจริญ,302,เพื่อไทย,94,208,450,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 302}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 94}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 22}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 12}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 7}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 6}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 5}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 0}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 0}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ล่วงหน้า / ชุด 8,482,482,,482,459,6,17,,450,9,1,,0.952282158,0.012448133,0.03526971,,0.671111111,0.208888889,0.462222222,0.537777778,9,9,0,,0,not_run_for_66,year66_prepared_final_only,,available_vote_columns_do_not_sum_to_official_valid_ballots,available_vote_columns_do_not_sum_to_official_valid_ballots,0,1,1,,,not_run_for_66,,
50_เชียงใหม่_7_อำเภอฝาง_ม่อนปิ่น_NA_1,2566,constituency,normal_precinct,ฝาง,ม่อนปิ่น,,1,,19.915875,99.180248,ก้าวไกล,สมดุลย์ อุตเจริญ,157,เพื่อไทย,56,101,385,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 157}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 56}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 53}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 53}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 44}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 8}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 5}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 3}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 2}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 2}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 1}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ฝาง / ม่อนปิ่น / หน่วย 1,536,414,,414,385,19,10,,385,0,0.77238806,,0.929951691,0.04589372,0.024154589,,0.407792208,0.145454545,0.262337662,0.737662338,0,0,0,,0,not_run_for_66,year66_prepared_final_only,,,,0,0,0,,,not_run_for_66,,
50_เชียงใหม่_7_อำเภอฝาง_ม่อนปิ่น_NA_2,2566,constituency,normal_precinct,ฝาง,ม่อนปิ่น,,2,,19.912379,99.175648,ก้าวไกล,สมดุลย์ อุตเจริญ,142,เพื่อไทย,64,78,346,"[{""candidate_no"": 2, ""candidate"": ""สมดุลย์ อุตเจริญ"", ""party"": ""ก้าวไกล"", ""votes"": 142}, {""candidate_no"": 7, ""candidate"": ""นิธิกร วุฒินันชัย"", ""party"": ""เพื่อไทย"", ""votes"": 64}, {""candidate_no"": 5, ""candidate"": ""นิคม เชาว์กิตติโสภณ"", ""party"": ""ประชาธิปัตย์"", ""votes"": 57}, {""candidate_no"": 1, ""candidate"": ""สันติ ตันสุหัช"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 37}, {""candidate_no"": 4, ""candidate"": ""เทวิกา ชัยชนะ"", ""party"": ""รวมแผ่นดิน"", ""votes"": 31}, {""candidate_no"": 6, ""candidate"": ""วรโชติ จี้เรือน"", ""party"": ""ไทยสร้างไทย"", ""votes"": 9}, {""candidate_no"": 3, ""candidate"": ""คณาฤทธิ์ สุภาคุณ"", ""party"": ""เพื่อชาติ"", ""votes"": 3}, {""candidate_no"": 11, ""candidate"": ""ไพรัตน์ ธรรมธิ"", ""party"": ""พลังบูรพา"", ""votes"": 1}, {""candidate_no"": 12, ""candidate"": ""สมศักดิ์ ปัญญา"", ""party"": ""ไทยภักดี"", ""votes"": 1}, {""candidate_no"": 13, ""candidate"": ""บดินทร์ กินาวงศ์"", ""party"": ""พลังประชารัฐ"", ""votes"": 1}, {""candidate_no"": 10, ""candidate"": ""กรินท์ บุญตันสา"", ""party"": ""ไทยศรีวิไลย์"", ""votes"": 0}, {""candidate_no"": 8, ""candidate"": ""ศรัณย์ แสนพรหม"", ""party"": ""ภูมิใจไทย"", ""votes"": 0}, {""candidate_no"": 9, ""candidate"": ""ชัยประเสริฐศิริ ทองสนิท"", ""party"": ""เสรีรวมไทย"", ""votes"": 0}]","[255, 120, 0, 190]",ปี 2566 / constituency / ฝาง / ม่อนปิ่น / หน่วย 2,470,370,,370,346,12,12,,346,0,0.787234043,,0.935135135,0.032432432,0.032432432,,0.410404624,0.184971098,0.225433526,0.774566474,0,0,0,,0,not_run_for_66,year66_prepared_final_only,,,,0,0,0,,,not_run_for_66,,
